sample_id,condition,replicate,assay,mark,fastq_1,fastq_2,run_accession,experiment_accession,gsa_sample_accession,read1_md5,read2_md5
WT_rep1_H3K9ac,WT,1,CHIP,H3K9ac,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202648/HRR1202648_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202648/HRR1202648_r2.fq.gz,HRR1202648,HRX948920,HRS831638,cecd48ef36ce659a0592d11340790c15,cf9079e0f20eb3118bbcfb5461479e6b
WT_rep1_H3K56ac,WT,1,CHIP,H3K56ac,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202632/HRR1202632_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202632/HRR1202632_r2.fq.gz,HRR1202632,HRX948904,HRS831622,912b10559cb6676e22f5b105ec62a6a0,be1ca732f26ed0b48e6acc1f85e51f19
WT_rep1_WGBS,WT,1,WGBS,,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202754/HRR1202754_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202754/HRR1202754_r2.fq.gz,HRR1202754,HRX949026,HRS831744,700da70777819f86c98d7665889a329e,65bd9c8f90bc32536ad05a41bb578dd8
WT_rep2_H3K9ac,WT,2,CHIP,H3K9ac,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202649/HRR1202649_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202649/HRR1202649_r2.fq.gz,HRR1202649,HRX948921,HRS831639,2fb7d7018d422e879409a51ac8a3e834,383e3e53074d48bc272b3ce5771daf3a
WT_rep2_H3K56ac,WT,2,CHIP,H3K56ac,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202633/HRR1202633_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202633/HRR1202633_r2.fq.gz,HRR1202633,HRX948905,HRS831623,e52e997836644d79b556aaaf7227ddfd,7592bf31afc9f9b17df9f227c4388885
WT_rep2_WGBS,WT,2,WGBS,,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202755/HRR1202755_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202755/HRR1202755_r2.fq.gz,HRR1202755,HRX949027,HRS831745,dcd665da6062db707fd67baa5d110e7d,c67204ec1ceac450fbc6c80229e0c939
SIRT1_rep1_H3K9ac,SIRT1,1,CHIP,H3K9ac,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202634/HRR1202634_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202634/HRR1202634_r2.fq.gz,HRR1202634,HRX948906,HRS831624,05806de0cc1d851a33161223aa1811e3,e551d2db00a9d343a612851145cb750b
SIRT1_rep1_H3K56ac,SIRT1,1,CHIP,H3K56ac,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202618/HRR1202618_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202618/HRR1202618_r2.fq.gz,HRR1202618,HRX948890,HRS831608,403b585dabdd79597bdf6db9b508342a,3d9ee9c531f829c0c264ca298ffa5998
SIRT1_rep1_WGBS,SIRT1,1,WGBS,,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202740/HRR1202740_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202740/HRR1202740_r2.fq.gz,HRR1202740,HRX949012,HRS831730,65ebc638704c6cb221c4f9f066947a59,930e86631a47aeb632602648954943ad
SIRT1_rep2_H3K9ac,SIRT1,2,CHIP,H3K9ac,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202635/HRR1202635_f1.fq.gz,https://download.cncb.ac.cn/gsa-human/HRA003336/HRR1202635/HRR1202635_r2.fq.gz,HRR1202635,HRX948907,HRS831625,cd3c5c67859374e2ded831d27e7a9bba,6d80390157790579d523eb4e8bbf9956
